module style:300ZI; drdy:True;   burst read:True; single read:False 
time:  0.900264;  status:                   0 ; gyro:                          0.140625, -0.125, 0.0625;  accel:                0.00125, 0.03025, 0.9975; temp:32.096667592741525; mag:          
time:  0.905080;  status:                   0 ; gyro:                           0.125, -0.125, 0.046875;  accel:               0.00125, 0.03025, 0.99725; temp:32.096667592741525; mag:          
time:  0.909946;  status:                   0 ; gyro:                           0.125, -0.125, 0.015625;  accel:                     0.0015, 0.03, 0.997; temp:32.096667592741525; mag:          
time:  0.914736;  status:                   0 ; gyro:                        0.109375, -0.125, 0.015625;  accel:                0.00175, 0.0295, 0.99675; temp:32.096667592741525; mag:          
time:  0.919582;  status:                   0 ; gyro:                        0.0625, -0.09375, 0.015625;  accel:                 0.00175, 0.029, 0.99625; temp:32.096667592741525; mag:          
time:  0.924414;  status:                   0 ; gyro:                       0.015625, -0.0625, 0.046875;  accel:                0.00175, 0.02875, 0.9955; temp:32.096667592741525; mag:          
time:  0.929275;  status:                   0 ; gyro:                            0.0, -0.046875, 0.0625;  accel:                   0.0015, 0.029, 0.9955; temp:32.096667592741525; mag:          
time:  0.934192;  status:                   0 ; gyro:                      -0.015625, -0.046875, 0.0625;  accel:                   0.001, 0.02925, 0.996; temp:32.096667592741525; mag:          
time:  0.938955;  status:                   0 ; gyro:                    -0.046875, -0.046875, 0.046875;  accel:                 0.0005, 0.02925, 0.9965; temp:32.096667592741525; mag:          
time:  0.943733;  status:                   0 ; gyro:                      -0.09375, -0.046875, 0.03125;  accel:                    0.0, 0.02925, 0.9965; temp:32.096667592741525; mag:          
time:  0.948589;  status:                   0 ; gyro:                        -0.125, -0.03125, 0.046875;  accel:                       0.0, 0.029, 0.997; temp:32.096667592741525; mag:          
time:  0.953336;  status:                   0 ; gyro:                        -0.15625, -0.03125, 0.0625;  accel:                 0.0005, 0.0285, 0.99675; temp:32.096667592741525; mag:          
time:  0.958188;  status:                   0 ; gyro:                     -0.171875, -0.03125, 0.078125;  accel:                  0.001, 0.0285, 0.99675; temp:32.096667592741525; mag:          
time:  0.962969;  status:                   0 ; gyro:                     -0.171875, -0.03125, 0.078125;  accel:                 0.00125, 0.0285, 0.9965; temp:32.096667592741525; mag:          
time:  0.967783;  status:                   0 ; gyro:                      -0.140625, -0.046875, 0.0625;  accel:                 0.0015, 0.02825, 0.9965; temp:32.096667592741525; mag:          
time:  0.972594;  status:                   0 ; gyro:                         -0.125, -0.0625, 0.046875;  accel:                 0.0015, 0.0285, 0.99625; temp:32.096667592741525; mag:          
time:  0.977398;  status:                   0 ; gyro:                      -0.09375, -0.078125, 0.03125;  accel:                   0.00175, 0.029, 0.996; temp:32.096667592741525; mag:          
time:  0.982197;  status:                   0 ; gyro:                        -0.0625, -0.0625, 0.015625;  accel:                0.00225, 0.0295, 0.99625; temp:32.096667592741525; mag:          
time:  0.987018;  status:                   0 ; gyro:                          -0.046875, -0.03125, 0.0;  accel:                0.00225, 0.0295, 0.99675; temp:32.096667592741525; mag:          
time:  0.991830;  status:                   0 ; gyro:                   -0.015625, -0.015625, -0.015625;  accel:                0.00175, 0.0295, 0.99675; temp:32.096667592741525; mag:          
time:  0.996684;  status:                   0 ; gyro:                           0.03125, -0.015625, 0.0;  accel:                    0.001, 0.029, 0.9965; temp:32.096667592741525; mag:          
time:  1.001475;  status:                   0 ; gyro:                           0.09375, -0.015625, 0.0;  accel:               0.00075, 0.02825, 0.99625; temp:32.096667592741525; mag:          
time:  1.006269;  status:                   0 ; gyro:                           0.15625, -0.046875, 0.0;  accel:                 0.001, 0.02775, 0.99675; temp:32.096667592741525; mag:          
time:  1.011048;  status:                   0 ; gyro:                      0.171875, -0.09375, 0.015625;  accel:                  0.00125, 0.028, 0.9975; temp:32.096667592741525; mag:          
time:  1.015910;  status:                   0 ; gyro:                       0.1875, -0.109375, 0.015625;  accel:                0.00175, 0.0285, 0.99775; temp:32.096667592741525; mag:          
time:  1.020746;  status:                   0 ; gyro:                          0.21875, -0.125, 0.03125;  accel:                   0.00175, 0.029, 0.998; temp:32.096667592741525; mag:          
time:  1.025522;  status:                   0 ; gyro:                         0.21875, -0.125, 0.046875;  accel:               0.00175, 0.02925, 0.99775; temp:32.096667592741525; mag:          
